年份,首播日期,頻道,集數,劇名,主演
2018年,9月30日,公視,20, 20之後 ,謝怡芬 、 藍鈞天 、 胡釋安 、 鄭靚歆 、 江宜蓉 、 顏毓麟 、 林子熙 、 林孫煜豪
2018年,10月17日,TVBS歡樂台,53, 初戀的情人 ,謝祖武 、 涂善妮 、 潘慧如 、 大元 、 劉書宏
2018年,10月28日,EYE TV 戲劇台,20, 電競高校 ,郝劭文 、 簡莉紋 、 趙毅劼 、 金允喬 、 李穎 、 曾可青
2018年,11月9日,酷瞧 播吧 愛奇藝台灣站,16, N世代 ,林柏叡 、 林真亦 、 陳瑀希 、 林薇多 、 李宓 、 杜季祥 、 沈志明 、 紀源 、 陳若穎 、 高宇橋 、 於大夢
2018年,11月15日 11月19日,TVBS歡樂台 台視,285 208, 女兵日記女力報到 ,羅平 、 楊晴 、 李宣榕 、 博焱 、 陳謙文 、 小嫻 、 楊雅筑 、 梁舒涵 、 方語昕 、 鄭亞 、 梁瀚名 、 林建予 、 尹彥凱 、 游小白
2018年,11月16日 11月17日,台視 東森綜合台 愛奇藝台灣站,24, 種菜女神 ,劉以豪 、 陳庭妮 、 李千娜 、 徐鈞浩
2018年,11月24日,台視 東森綜合台 LINE TV 愛奇藝台灣站,15, 艾蜜麗的五件事 ,鍾瑤 、 林子閎 、 王家梁 、 臧芮軒
2018年,11月24日 12月23日,Vidol 三立都會台,5, 你好，幸福 ,葉星辰 、 陽詠存 、 李維維 、 殷悅 、 吳岳擎 、 古斌 、 藍鈞天
2018年,12月10日,公視2台,10, 生死接線員 ,曾少宗 、 劉倩妏 、 李杏 、 單承矩 、 邱震瀚
2019年,1月6日 1月12日,台視 三立都會台 LINE TV 愛奇藝台灣站,16, 你有念大學嗎？ ,安心亞 、 禾浩辰 、 邵翔 、 邱宇辰 、 吳品潔
2019年,1月8日,三立都會台,41, 必勝大丈夫 ,蔡振南 、 周曉涵 、 周孝安 、 林昀希 、 邱昊奇 、 陳天仁
2019年,2月16日,公視,6, 魂囚西門 ,蕭敬騰 、 郭碧婷 、 鄭宜農 、 謝盈萱 、 喜翔 、 藍葦華 、 詹宛儒
2019年,3月1日 3月3日,台視 八大戲劇台 LINE TV 愛奇藝台灣站,13, 我是顧家男 ,黃健瑋 、 楊謹華 、 謝佳見
2019年,3月9日 3月10日,台視 東森綜合台 LINE TV 愛奇藝台灣站 myVideo,15, 愛情白皮書 ,張庭瑚 、 王淨 、 宋柏緯 、 謝翔雅 、 吳岳擎
2019年,3月24日,公視 HBO,10, 我們與惡的距離 ,賈靜雯 、 吳慷仁 、 陳妤 、 溫昇豪 、 曾沛慈 、 林哲熹 、 周采詩 、 宏都拉斯 、 林予晞 、 施名帥 、 謝瓊煖 、 檢場 、 于卉喬 、 王可元
2019年,3月27日,中視,16, 鑑識英雄II 正義之戰 ,周孝安 、 蔡淑臻 、 王識賢 、 蔡黃汝 、 蘇達
2019年,3月29日,三立都會台 Vidol Netflix,20, 一千個晚安 ,張棟梁 、 連俞涵 、 李宗霖 、 姚愛寗
2019年,4月16日,LINE TV,20, HIStory3-圈套 ,徐鈞浩 、 吳承洋 、 卞慶華 、 陳廷軒
2019年,4月24日 4月27日,台視 東森綜合台 愛奇藝台灣站,24, 如果愛，重來 ,張書豪 、 柯佳嬿 、 吳岳擎
2019年,5月5日 5月11日,華視 中天娛樂台,13, 最佳利益 ,天心 、 鍾承翰 、 溫昇豪
2019年,5月5日 5月11日,台視 三立都會台 Vidol LINE TV 愛奇藝台灣站,18, 月村歡迎你 ,謝坤達 、 林思宇 、 吳念軒 、 李佳豫
2019年,5月14日,八大綜合台 KKTV LINE TV,40, 90後的我們 ,陳天仁 、 陳信維 、 簡劭峰 、 莊迦漢 、 林靖軒
2019年,5月31日 6月2日,台視 八大戲劇台 KKTV LINE TV,13, 我們不能是朋友 ,劉以豪 、 郭雪芙 、 孫其君 、 夏若妍 、 袁艾菲 、 陳慕
2019年,6月8日,公視 Netflix,13, 噬罪者 ,莊凱勛 、 曹晏豪 、 夏于喬 、 蔡淑臻 、 林子熙
2019年,6月14日,三立台灣台,22, 天之蕉子 ,楊子儀 、 吳怡霈 、 楊小黎 、 陳謙文 、 唐豐 、 黃靖倫 、 周宜霈 、 王晴
2019年,6月24日,衛視電影台 FOX+,10, 浮士德遊戲2 ,修杰楷 、 鍾瑤 、 黃尚禾 、 姚以緹
2019年,7月3日,LINE TV KKTV,8, 同居吧！MC女孩 ,詹宛儒 、 李聿安 、 周維鈺 、 常心屏
2019年,7月6日 7月7日,台視 東森綜合台,15, 男神時代 ,謝佳見 、 葉星辰 、 劉書宏 、 夏語心 、 陽靚 、 安俊朋
2019年,7月9日,八大綜合台 KKTV LINE TV,40, 一起幹大事 ,李㼈 、 王滿嬌 、 邱宇辰 、 楊騰 、 賴雅琪 、 許巧薇 、 邱九儒
2019年,7月18日,華視,45, 鬥陣來鬧熱 ,王彩樺 、 方駿 、 許富凱 、 何蓓蓓
2019年,7月19日,LINE TV,13, 靈異街11號 ,李國毅 、 簡嫚書
2019年,7月27日,公視 公視台語台,30, 苦力 ,蔡昌憲 、 黃文星 、 傅子純 、 陳怡嘉 、 林玟誼 、 白家綺
2019年,8月2日,衛視中文台 FOX+,14, 遺失的1/2 ,黃姵嘉 、 陳璽安 、 王家梁 、 韓笙笙 、 林哲熹
2019年,8月4日 10月25日,華視 三立都會台,10, 俗女養成記 ,謝盈萱 、 吳以涵 、 溫昇豪 、 藍葦華 、 夏靖庭 、 楊麗音 、 宋緯恩 、 陳竹昇 、 于子育
2019年,8月15日 9月8日,Netflix 公視 愛奇藝台灣站,7, 鏡文學驚悚劇場 ,温貞菱 、 蔡淑臻 、 林鶴軒 、 韓笙笙 、 班鐵翔 、 應采靈 、 許時豪 、 廖雅珺 、 夏騰宏 、 林子熙 、 吳昆達 、 林意箴 、 王渝屏 、 黃河 、 丁巧唯 、 白潤音 、 白小櫻 、 謝欣穎 、 張詩盈
2019年,8月16日 8月17日,華視 三立都會台 衛視中文台,10, 用九柑仔店 ,張軒睿 、 莫允雯 、 林義雄 、 雷洪 、 龍劭華 、 黃西田 、 王滿嬌 、 侯彥西 、 陳禕倫 、 程雅晨 、 張文綺 、 吳朋奉 、 丁國琳
2019年,8月30日 9月1日,台視 八大戲劇台,40, 你那邊怎樣·我這邊OK ,藍心湄 、 藍正龍 、 曾之喬 、 劉冠廷 、 曾沛慈 、 吳岳擎 、 庹宗華 、 張耀仁 、 陳羅密歐 、 陳泂江 、 沈琳宸
2019年,9月8日 9月14日,台視 三立都會台 Vidol 愛奇藝台灣站,20, 網紅的瘋狂世界 ,吳思賢 、 項婕如 、 言明澔 、 克萊兒  、 卓毓彤 、  張豐豪 、 姚亦晴 、 蘇妍緹 、 許時豪 、 黃雲歆 、 李星鏴 、 張若凡
2019年,10月6日,公視 HBO Asia,8, 通靈少女2 ,郭書瑤 、 温貞菱 、 范少勳
2019年,10月16日,LINE TV,20, HIStory3-那一天 ,宋緯恩 、 黃雋智 、 劉韋辰 、 張瀚元
2019年,10月19日,TVBS歡樂台,15, 天堂的微笑 ,修杰楷 、 林予晞 、 方志友 、 黃尚禾 、 林逸欣
2019年,10月21日,客家電視台,16, 烏陰天的好日子 ,張雁名 、 方宥心 、 王琄 、 廖苡喬 、 巫宗瀚 、 李劭婕 、 劉倩妏
2019年,10月29日,華視,30, 守著陽光守著你 ,是元介 、 李千那 、 潘柏希 、 吳品潔
2019年,10月31日,Netflix,8, 罪夢者 ,賈靜雯 、 張孝全 、 范曉萱 、 王柏傑 、 章立衡 、 周洺甫 、 許光漢
2019年,11月16日,公視 Netflix,13, 糖糖Online ,潘慧如 、 朱芷瑩 、 詹宛儒 、 鍾政均 、 林孫煜豪 、 盧以恩 、 唐綸 、 王暄晴 、 葛丞 、 黃婕菲 、 黃子悅
2019年,11月17日 11月23日,中視 衛視中文台 FOX+,13, 想見你 ,柯佳嬿 、 許光漢 、 施柏宇 、 顏毓麟
2019年,11月18日,東森戲劇台,63, 美味滿閣 ,魏蔓 、 李維維 、 王傳一 、 紀言愷 、 苗可麗 、 龍劭華 、 沈孟生
2019年,12月1日 12月7日,民視 公視主頻,30, 鏡子森林 ,侯怡君 、 楊謹華 、 柯叔元 、 霍正奇 、 游安順 、 高欣欣 、 李之勤 梁正群 、 姚淳耀 、 藍葦華 、 夏騰宏 、 何豪傑 、 徐裕傑 、 李相林 、 瑭霏
2019年,12月6日,Netflix,6, 極道千金 ,劉以豪 、 劉奕兒
2019年,12月16日,客家電視台,12, 四分之3 ,侯彥西 、 特蕾沙 、 黃湘婷 、 吳承洋 、 呂雪鳳 、 檢場 、 段可風 、 林鶴軒
2019年,12月24日,TVBS歡樂台 中視,50, 女力報到－小資女上班記 ,羅平 、 楊晴 、 李宣榕 、 林曜晟 、 陳謙文 、 王樂妍 、 楊雅筑 、 梁瀚名 、 梁舒涵 、 曾子余 鄭亞 、 林建予 、 方馨 、 劉書宏 、 王上菲 、 勵政達 、 王沛語 、 張瀚元 、 尹彥凱 、 游小白
2020年,1月1日,大愛電視台,2, 舞出寂靜 ,高慧君 、 夏靖庭 、 江沂宸 、 楊家芸
2020年,1月23日,Netflix,6, 彼岸之嫁 ,吳慷仁 、 黃姵嘉 、 林路迪 、 田士廣
2020年,2月2日 2月8日,台視 三立都會台,18, 跟鯊魚接吻 ,鍾瑶 、 羅宏正 、 李運慶 、 張景嵐 、 藍鈞天 、 茵芙
2020年,2月8日,TVBS歡樂台 愛奇藝台灣站,15, 墜愛 ,安心亞 、 宋柏緯 、 溫昇豪 、 古斌 、 林映唯 、 吳珝陽 、 程茉
2020年,2月14日,KKTV,10, 2020因為愛你 ,李時剛 、 張又瑋 、 黃士傑 、 徐謀俊
2020年,3月6日,TVBS歡樂台 中視,50, 女力報到－愛神出任務 ,羅平 、 楊晴 、 李宣榕 、 林曜晟 、 陳謙文 、 王樂妍 、 楊雅筑 、 梁瀚名 、 梁舒涵 、 曾子余 、 林建予 、 王建復 、 王上菲 、 勵政達 、 王沛語 、 張瀚元 、 尹彥凱 、 游小白
2020年,3月15日,myVideo,4, 76號恐怖書店之恐懼罐頭 ,陳庭妮 、 張書偉 、 鄭人碩 、 饒星星 、 黃瀞怡
2020年,3月28日 3月29日,台視 八大戲劇台 八大綜合台,13, 覆活 ,邱勝翊 、 任容萱 、 吳岳擎 、 姚以緹
2020年,4月4日,公視,8, 妖怪人間 ,石知田 、 黃騰浩 、 連俞涵 、 陳以文 、 蕭永裕
2020年,4月10日 4月18日,Vidol 三立都會台,8, 位！你在等我嗎？ ,吳承洋 、 陳敬宣 、 江可德 、 綠茶 、 李易 、 沈懿 、 金凱德 、 王琄 、 班鐵翔
2020年,4月15日,東森戲劇台 愛奇藝台灣站,60, 姊妹們追吧 ,謝坤達 、 張允曦 、 柯淑勤 、 雲中岳 、 洪都拉斯 、 葛蕾 、 吳以涵 、 劉宇珊 、 章廣辰
2020年,4月17日,Vidol 三立新聞網,12, 限時同居侯八天 ,李博翔 、 梁以辰 、 勵政達 、 菜浿梨子 、 宋偉恩 、 呂維真 、 章哲銘 、 葉芸希 、 游書庭
2020年,4月19日,華視   公視台語台,10, 若是一個人 ,孫可芳 、 宋柏緯 、 林子閎 、 陳璇
2020年,4月30日,Netflix,8, 誰是被害者 ,許瑋甯 、 張孝全 、 王識賢 、 季芹 、 洪都拉斯 、 楊少文 、 陳家逵 、 夏靖庭 、 馬念先 、 丁寧 、 黃河 、 林心如 、 鄭人碩 、 李沐
2020年,5月10日,HBO myVideo,6, 做工的人 ,李銘順 、 柯叔元 、 游安順 、 苗可麗 、 薛仕凌 、 曾珮瑜 、 曾敬驊
2020年,5月15日,TVBS歡樂台 中視,50, 女力報到－最佳拍檔 ,潘慧如 、 梁舒涵 、 曾子余 楊雅筑 、 楊晴 、 羅平 、 王建復 、 李宣榕 、 王樂妍 、 陳謙文 、 游小白 、 梁瀚名 、 尹彥凱 、 林建予 、 勵政達 、 王上菲 、 張瀚元 、 王沛語
2020年,5月16日,公視 NHK,3, 路～ 台灣Express～ ,波瑠 、 井浦新 、 寺脇康文 、 高橋長英 、 炎亞綸 、 邵雨薇 、 楊烈 、 林美秀 、 李梓誠
2020年,5月18日,東風衛視,13, 有家雜貨店 ,張幼楒 、 李亮瑾 、 顏曉筠 、 宋城希 、 周月綺 、 張魁 、 張帝 、 鄭進一
2020年,5月19日,台視 愛奇藝台灣站 LINE TV myVideo,168, 生生世世 ,方文琳 、 林嘉俐 、 米可白 、 林雨宣 、 薛仕凌 、 曾子益 、 方大緯
2020年,6月6日,公視 公視+ myVideo LINE TV HamiVideo,40, 我的婆婆怎麼那麼可愛 ,鍾欣凌 、 黃姵嘉 、 張書偉 、 許孟哲 、 許傑輝 、 邱凱偉 、 王少偉 、 楊銘威 、 蘇晏霈 、 林筳諭 、 張可昀 、 陳禕倫 、 詹宛儒 、 謝毅宏 、 陳建凱 、 林東緒
2020年,6月7日 6月13日,台視 三立都會台,20, 浪漫輸給你 ,張立昂 、 宋芸樺 、 連晨翔 、 廖奕琁 、 許孟哲 、 蔡瑞雪
2020年,6月28日,華視 公視台語台,10, 老姑婆的古董老菜單 ,李冠毅 、 黃聖雅 、 嚴正嵐 、 吳秀珠 、 龍劭華
2020年,7月15日 7月29日,三立都會台 華視,60, 我的青春沒在怕 ,唐禹哲 、 蔡黃汝 、 王家梁 、 程予希
2020年,7月17日,myVideo,4, 違反校規的跳投 ,吳念軒 、 蔡瑞雪 、 李銘忠 、 范姜彥豐 、 宋偉恩 、 劉育仁 、 各務孝太 、 簡伯廷 、 李齊
2020年,7月24日,TVBS歡樂台,50, 女力報到－正好愛上你 ,李宣榕 、 楊晴 、 楊雅筑 、 王上菲 、 王沛語 、 羅平 、 梁瀚名 、 陳謙文 、 王樂妍 、 林建予 、 游小白 、 尹彥凱 、 王建復 、 黃靖倫 、 勵政達 、 張瀚元 、 潘嘉麗 、 林曜晟 、 顏以娜 、 優妮
2020年,7月31日,三立台灣台,18, 羅雀高飛 ,邱凱偉 、 大元 、 田家達 、 李維維
2020年,8月2日,民視 LINE TV,14, 黑喵知情 ,簡嫚書 、 施名帥 、 連俞涵 、 王家梁
2020年,8月16日,HBO HBO Asia,8, 獵夢特工 ,徐若瑄 、 王識賢 、 王耀慶
2020年,8月22日,中天娛樂台 愛奇藝台灣站,39, 那刻的怦然心動 ,胡宇威 、 關詩敏 、 劉品言 、 黃薇渟 、 陶嫚曼 、 蔡淑臻 、 潘慧如 、 鍾欣凌 、 尹昭德 、 壯壯 、 許光漢 、 周定緯 、 藍鈞天 、 邱品程 、 高英軒 、 艾偉
2020年,8月28日,myVideo,4, 追兇500天 ,莫子儀 、 黃瀞怡 、 程予希 、 林暉閔
2020年,9月12日,中天綜合台 愛奇藝,20, 腦波小姐 ,張書豪 、 歐陽妮妮 、 蔡黃汝 、 張捷 、 黃仲崑 、 陳孝萱 、 夏靖庭 、 狄志杰 、 劉修甫
2020年,9月19日,衛視中文台 衛視電影台,3, 愛的廣義相對論 ,莊凱勛 、 劉品言 、 楊謹華 、 宋芸樺 、 謝欣穎 、 林哲熹
2020年,9月19日 9月20日,台視 八大戲劇台,13, 因為我喜歡你 ,汪東城 、 郭雪芙 、 張本渝 、 顏毓麟 、 席惟倫 、 陳泂江
2020年,10月2日,TVBS歡樂台,60, 女力報到－最美的約定 ,楊晴 、 羅平 、 王樂妍 、 陳謙文 、 梁瀚名 、 楊雅筑 、 王建復 、 李宣榕 、 林建予 、 游小白 、 尹彥凱 、 王上菲 、 王沛語 、 黃靖倫 、 潘嘉麗 、 顏以娜 、 勵政達 、 張瀚元 、 林曜晟 、 楊佩潔 、 李博翔 、 優妮
2020年,10月15日,KKTV GagaOOlala,10, 饞上你 ,邱昊奇 、 范成章 、 宋亞倫 、 陳希騰 、 郭源元 、 顏永烈 、 李育群
2020年,10月25日 10月31日,台視 三立都會台 Netflix,20, 天巡者 ,賀軍翔 、 邵雨薇 、 周曉涵 、 楊銘威 、 陳璽安 、 程雅晨 、 張洛偍
2020年,11月13日,myVideo KKTV,14, 記憶浮島 ,安哲 、 劉宇菁 、 陳敬宣 、 李杏 、 楊孟霖 、 徐鈞浩 、 陳禕倫 、 孫沁岳 、 范宸菲
2020年,11月13日,myVideo,12, 不讀書俱樂部 ,蕭子墨 、 黑嘉嘉 、 李沐 、 張再興 、 林映唯 、 陳加恩 、 紀言愷
2020年,11月14日,TVBS歡樂台,13, 粉紅色時光 ,方志友 、 吳念軒 、 章廣辰 、 嚴正嵐 、 陳彥允
2020年,11月17日,三立都會台 華視,60, 廢財闖天關 ,李國毅 、 李亦捷 、 梁以辰 、 梁舒涵 、 邱昊奇 、 邵翔
2020年,11月27日,三立都會台 華視,15, 未來媽媽 ,郭書瑤 、 禾浩辰 、 馬志翔 、 劉品言 、 李至正 、 張寗 、 夏騰宏 、 楊麗音 、 周丹薇 、 劉亮佐
2020年,11月28日 12月5日,東森戲劇台 靖天戲劇台,15, 王牌辯護人 ,胡宇威 、 葉星辰 、 路斯明 、 黃薇渟 、 林孫煜豪
2020年,12月3日 12月10日,優酷 Netflix myVideo,8, 預支未來 ,張書豪 、 劉奕兒 、 禾浩辰 、 邵雨薇
2020年,12月5日,公視,8, 返校 ,韓寧 、 李玲葦 、 姚淳耀 、 吳昆達 、 趙正平 、 黃冠智 、 羅光旭 、 蔡瑞雪 、 夏騰宏
2020年,12月13日,HBO HBO Asia,8, 戒指流浪記 ,宥勝 、 林予晞 、 龍劭華 、 王琄 、 陳竹昇 、 孫可芳 、 黃尚禾 、 謝怡芬 、 黃柏鈞 、 劉國劭 、 許乃涵 、 梁正群 、 林暉閔 、 黃沐妍 、 王宥謙
2020年,12月16日,Vidol 三立新聞網 LINE TV,12, 愛不愛栗絲 ,李佳穎 、 王可元 、 許凱皓 、 文雨非 、 謝毅宏
2020年,12月20日,八大綜合台 myVideo LINE TV,10, 故事宮寓 ,張鈞甯 、 徐若瑄 、 連俞涵 、 瑞瑪席丹 、 張榕容 、 劉冠廷 、 莊凱勛 、 李國毅 、 林鶴軒 、 吳念軒
2020年,12月27日,LINE TV,24, 金愛演真探團 ,龍劭華 、 李國毅 、 許明傑 、 王自強 、 喜翔 、 陳俊成 、 劉昌翰
2020年,12月28日,TVBS歡樂台,50, 女力報到－好運到 ,楊晴 、 羅平 、 王樂妍 、 陳謙文 、 方馨 、 劉書宏 、 梁瀚名 、 楊雅筑 、 王建復 、 李宣榕 、 林建予 、 潘嘉麗 、 尹彥凱 、 優妮 、 勵政達 、 王上菲 、 林曜晟 、 顏以娜 、 楊佩潔 、 李博翔 、 張瀚元 、 游小白 、 王沛語 、 黃靖倫
2021年,1月2日,公視,6, 大債時代 ,林柏宏 、 李霈瑜 、 黃瀞怡 、 陳昊森 、 張書豪
2021年,1月8日,WeTV,6, We Best Love－永遠的第一名 ,林子閎 、 楊宇騰 、 李齊 、 羅德弘 、 張睿家 、 范姜彥豐 、 石知田
2021年,1月31日,八大戲劇台 衛視中文台,26, 她們創業的那些鳥事 ,林心如 、 陳意涵 、 邱澤 、 簡嫚書
2021年,2月20日,公視 myVideo,10, 天橋上的魔術師 ,莊凱勛 、 李奕樵 、 孫淑媚 、 朱軒洋 、 初孟軒 、 黃舒湄 、 袁富華 、 盧以恩 、 萬芳
2021年,3月1日,三立都會台 華視,30, 廢財闖天關2 ,李國毅 、 李亦捷 、 梁以辰 、 梁舒涵 、 邱昊奇 、 邵翔
2021年,3月5日,WeTV,6, We Best Love－第二名的逆襲 ,林子閎 、 楊宇騰 、 李齊 、 羅德弘 、 張睿家 、 范姜彥豐 、 石知田
2021年,3月11日,TVBS歡樂台,50, 女力報到－愛情公寓 ,梁瀚名 、 楊雅筑 、 羅平 、 楊晴 、 王樂妍 、 陳謙文 、 李宣榕 、 王建復 、 林建予 、 潘嘉麗 、 尹彥凱 、 優妮 、 勵政達 、 王上菲 、 林曜晟 、 顏以娜 、 黃靖倫 、 游小白 、 朱宇謀 、 張瀚元 、 林柏妤 、 李博翔 、 楊佩潔 、 徐愷伶 、 陳彥廷 、 方志友
2021年,3月12日,Hami Video,4, 都嘛是你的毛 ,蔡凡熙 、 魏蔓 、 辛樂兒
2021年,3月14日,YouTube,3, 親愛的天王星 ,陳加恩 、 孫譓檸 、 朱葒 、 陳羿菡 、 黃亭瑜 、 薛奕絜
2021年,3月14日,LINE TV,20, HIStory4 - 近距離愛上你 ,涂善存 、 陳立安 、 安俊朋 、 林嘉威 、 紀欣伶
2021年,3月21日 3月27日,台視 三立都會台,18, 戀愛是科學 ,莫允雯 、 吳念軒 、 黃薇渟 、 李京恬 、 高雋雅 、 鄭暐達 、 林禹 、 許懷民 、 葉全真
2021年,3月22日,客家電視台,12, 女孩上場 ,張瑀希 、 蔡嘉茵 、 范姜泰基 、 高英軒 、 徐瑞蔆 、 高倩怡 、 李蕙蓉 、 吳奕蓉
2021年,4月12日,三立都會台 華視,70, 三隻小豬的逆襲 ,王傳一 、 賴雅妍 、 謝佳見 、 魏蔓 、 林孫煜豪 、 孫沁岳 、 李天柱 、 劉瑞琪
2021年,4月23日,GagaOOLala,6, 酷蓋爸爸 ,謝佳見 、 林輝瑝
2021年,4月23日 5月23日,民視第一台 民視無線台,3, 日蝕遊戲 ,楚宣 、 梁佑南 、 李之勤 、 葉華 、 袁艾菲
2021年,5月1日,公視,10, 火神的眼淚 ,溫昇豪 、 林柏宏 、 陳庭妮 、 劉冠廷 、 江宜蓉 、 馬力歐 、 胡釋安 、 夏騰宏 、 謝章穎 、 柯奐如 、 王琄 、 丁寧 、 黃迪揚 、 陳鼎中
2021年,5月20日,TVBS歡樂台,50, 女力報到－男人止步 ,梁瀚名 、 楊雅筑 、 羅平 、 楊晴 、 林建予 、 潘嘉麗 、 尹彥凱 、 優妮 、 勵政達 、 王上菲 、 林曜晟 、 顏以娜 、 黃靖倫 、 游小白 、 朱宇謀 、 張瀚元 、 林柏妤 、 李博翔 、 楊佩潔 、 徐愷伶 、 陳彥廷
2021年,5月20日,Vidol KKTV,12, 約·定 ,賴東賢 、 王碩瀚 、 廖偉博 、 余杰恩 、 李迪恩
2021年,6月13日,HBO HBO GO CATCHPLAY+,15, 第三佈局 塵沙惑 ,張榕容 、 莊凱勛 、 劉冠廷 、 李銘忠 、 邱士縉 、 魏蔓 、 黃薇渟 、 林子熙 、 徐鈞浩 、 林美貞 、 喜翔
2021年,6月17日,LINE TV,50, 愛的奧特萊斯 ,傅孟柏 、 姜典 、 項婕如
2021年,7月10日 7月11日,公視 東森戲劇台 LINE TV,10, 神之鄉 ,王識賢 、 李李仁 、 李玉璽 、 項婕如
2021年,7月16日,myVideo,7, 我的老闆是隻貓 ,張睿家 、 嚴正嵐 、 袁子芸 、 李齊 、 唐振剛
2021年,7月28日,AMM,13, 20年的約定 ,蔡凡熙 、 郭雪芙 、 仲思齊 、 艾麗 、 邱昊奇 、 林意箴 、 辰星雨 、 王邵平 、 林恆安 、 羅家正
2021年,7月29日,TVBS歡樂台,50, 女力報到－男人止步2 ,潘嘉麗 、 王上菲 、 楊雅筑 、 楊晴 、 羅平 、 梁瀚名 、 林建予 、 尹彥凱 、 優妮 、 游小白 、 潘慧如 、 鄭亞 、 阿布 、 方志友 、 邱凱偉 、 葛蕾
2021年,7月30日,YouTube,4, 職人事務所 ,唐豐 、 蔡聖偉 、 陳霆 、 姬君達 、 王岳豐 、 陳奕紘 、 葉立國 、 陳睦淳 、 鄭布布 、 阿榞 、 陳星彤 、 黃圓元 、 吳楷兒 、 葉真佑
2021年,8月7日,八大戲劇台,20, 超感應學園 ,蔡凡熙 、 劉奕兒 、 姜濤 、 林思廷 、 洪群鈞 、 白靜宜 、 許時豪
2021年,8月8日,華視 CatchPlay,10, 俗女養成記2 ,謝盈萱 、 藍葦華 、 吳以涵 、 陳竹昇 、 于子育 、 宋偉恩 、 楊銘威
2021年,8月12日,myVideo 公視+,10, 池塘怪談 ,林鶴軒 、 石知田 、 張紹琛 、 蔡承儒 、 陳姸霏 、 苗可麗 、 趙正平
2021年,8月14日,公視,12, 斯卡羅 ,吳慷仁 、 温貞菱 、 查馬克·法拉屋樂 、 雷斌·金碌兒 、 法比歐 、 黃健瑋 、 周厚安 、 黃遠 、 雷洪 、 夏靖庭 、 余竺儒 、 張瑋帆 、 郭芷芸 、 程苡雅 、 謝宇熙
2021年,9月3日 9月4日,愛奇藝國際站 緯來電影台,24, 逆局 ,周渝民 、 張榕容 、 李銘順 、 曾敬驊 、 朱軒洋 、 紀培慧 、 辛樂兒 、 馬念先 、 黃迪揚 、 姜康哲
2021年,9月10日 10月1日 12月25日,YouTube   [ 2 ] 自架付費平台 公視,10, 國際橋牌社2 ,楊烈 、 陳家逵 、 湯志偉 、 夏靖庭 、 路斯明 、 范宸菲 、 楊小黎 、 趙正平 、 撒基努 、 安俊朋 、 方聖傑 、 詹佳儒 、 蔣偉文
2021年,9月17日,KKTV,10, 隔離後見個面，好嗎？ ,河合朗弘 、 邱治澔 、 張雅惟 、 林鼎強 、 歐陽MAMA 、 賴東賢
2021年,9月24日,GagaOOLala,4, 無邪 ,蟻大點 、 張得中
2021年,10月3日,HBO HBO GO,10, 誰在你身邊 ,莊凱勛 、 徐若瑄 、 張鈞甯 、 陳恩峰 、 王可元
2021年,10月7日,TVBS歡樂台,50, 女力報到－愛的故事 ,優妮 、 尹彥凱 、 楊晴 、 羅平 、 梁瀚名 、 楊雅筑 、 梁舒涵 、 曾子余 、 黃靖倫 、 王上菲 、 游小白 、 鄭亞 、 林建予 、 潘嘉麗
2021年,10月9日,公視,10, 四樓的天堂 ,黃秋生 、 謝盈萱 、 范少勳 、 黃姵嘉 、 王真琳 、 潘麗麗 、 陳家逵
2021年,10月16日 10月17日,台視 東森戲劇台 myVideo Netflix,18, 2049－幸福話術   2049－刺蝟法則    2049－完美預測 ,陳漢典 、 李亦捷 林子熙 、 莫允雯     邵雨薇 、 林柏宏
2021年,10月17日 11月8日,公視台語台 民視無線台,30, 孟婆客棧 ,唐美雲 、 石英 、 蔡振南 、 王彩樺 、 王金櫻 、 小咪 、 林美秀
2021年,10月17日 10月23日,愛奇藝國際站 華視 八大戲劇台,13, 無神之地不下雨 ,曾之喬 、 傅孟柏 、 顏毓麟
2021年,10月22日,Netflix,10, 比悲傷更悲傷的故事 ,王淨 、 范少勳 、 曾少宗 、 馬念先 、 蔡嘉茵 、 白潤音 、 王柏傑 、 邵雨薇 、 袁艾菲 、 姚以緹
2021年,11月8日,台視 三立都會台,100, 一個屋簷下 ,楊子儀 、 林筳諭 、 周孝安 、 米可白 、 周宜霈 、 盧彥澤 、 陳妍安 、 陳文山 、 吳佳姍 、 陳玹宇 、 洪于晴 、 潘逸安 、 何宜珊 、 邱木翰
2021年,11月12日,GagaOOLala,6, 第一次遇見花香的那刻 ,林辰唏 、 程予希
2021年,11月13日 11月15日,公視 客家電視台,12, 茶金 ,郭子乾 、 溫昇豪 、 連俞涵 、 薛仕凌 、 李杏
2021年,11月14日,HBO HBO GO,6, 亞洲怪談2：送煞 （ 英語 ： Folklore (TV series) ） ,吳慷仁 、 宋芸樺
2021年,11月26日,Netflix,24, 華燈初上 ,林心如 、 楊謹華 、 楊祐寧 、 劉品言 、 謝欣穎 、 郭雪芙 、 江宜蓉 、 謝瓊煖
2021年,12月15日,TVBS歡樂台 東森超視,100, 機智校園生活 ,宥勝 、 周曉涵 、 紀言愷 、 曾莞婷 、 楊晴 、 林輝瑝 、 鍾岳軒 、 鄭豐毅 、 劉敬 、 陳彥廷 、 王新凱 、 黃柏峰 、 李星鏴 、 孔令元 、 鄭芯恩 、 馮容潔 、 王禹舒 、 賴雅琪
